Rank,Title.href,Title.text,Category.href,Category.text,App URL.href,App URL.text,index,url
27,https://itunes.apple.com/us/app/nba-jam-by-ea-sports/id402370879?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,NBA JAM by EA SPORTS䋢,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/nba-jam-by-ea-sports/id402370879?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,27,https://www.apple.com/itunes/charts/paid-apps/
28,https://itunes.apple.com/us/app/five-nights-at-freddys-3/id973482987?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Five Nights at Freddy's 3,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/five-nights-at-freddys-3/id973482987?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,28,https://www.apple.com/itunes/charts/paid-apps/
29,https://itunes.apple.com/us/app/grand-theft-auto-san-andreas/id763692274?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Grand Theft Auto: San Andreas,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/grand-theft-auto-san-andreas/id763692274?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,29,https://www.apple.com/itunes/charts/paid-apps/
30,https://itunes.apple.com/us/app/papas-freezeria-to-go!/id824305459?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Papa's Freezeria To Go!,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/papas-freezeria-to-go!/id824305459?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,30,https://www.apple.com/itunes/charts/paid-apps/
31,https://itunes.apple.com/us/app/scribblenauts-remix/id444844790?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Scribblenauts Remix,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/scribblenauts-remix/id444844790?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,31,https://www.apple.com/itunes/charts/paid-apps/
32,https://itunes.apple.com/us/app/hide-n-seek-mini-game-worldwide/id768592901?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Hide N Seek : Mini Game With Worldwide Multiplayer,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/hide-n-seek-mini-game-worldwide/id768592901?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,32,https://www.apple.com/itunes/charts/paid-apps/
33,https://itunes.apple.com/us/app/monument-valley/id728293409?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Monument Valley,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/monument-valley/id728293409?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,33,https://www.apple.com/itunes/charts/paid-apps/
34,https://itunes.apple.com/us/app/goat-simulator/id868692227?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Goat Simulator,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/goat-simulator/id868692227?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,34,https://www.apple.com/itunes/charts/paid-apps/
35,https://itunes.apple.com/us/app/hotschedules/id294934058?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,HotSchedules,https://itunes.apple.com/us/genre/ios-business/id6000?mt=8&uo=2&l=en,Business,https://itunes.apple.com/us/app/hotschedules/id294934058?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,35,https://www.apple.com/itunes/charts/paid-apps/
36,https://itunes.apple.com/us/app/sleep-cycle-alarm-clock/id320606217?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Sleep Cycle alarm clock,https://itunes.apple.com/us/genre/ios-health-fitness/id6013?mt=8&uo=2&l=en,Health & Fitness,https://itunes.apple.com/us/app/sleep-cycle-alarm-clock/id320606217?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,36,https://www.apple.com/itunes/charts/paid-apps/
37,https://itunes.apple.com/us/app/swype/id916365675?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Swype,https://itunes.apple.com/us/genre/ios-utilities/id6002?mt=8&uo=2&l=en,Utilities,https://itunes.apple.com/us/app/swype/id916365675?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,37,https://www.apple.com/itunes/charts/paid-apps/
38,https://itunes.apple.com/us/app/videoshop-video-editor/id615563599?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Videoshop - Video Editor,https://itunes.apple.com/us/genre/ios-photo-video/id6008?mt=8&uo=2&l=en,Photo & Video,https://itunes.apple.com/us/app/videoshop-video-editor/id615563599?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,38,https://www.apple.com/itunes/charts/paid-apps/
39,https://itunes.apple.com/us/app/ultimate-wolf-simulator/id1003822659?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Ultimate Wolf Simulator,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/ultimate-wolf-simulator/id1003822659?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,39,https://www.apple.com/itunes/charts/paid-apps/
